CKPT_TYPE,THREADS,SPEC_WINDOW,OBJECTS,MIT,MEAN_TOT_THROUGHPUT,MEAN_COM_THROUGHPUT,EPOCHS,ROLLBACKS,TOTAL_EVENTS,COMMITTED_EVENTS,FILTERED_EVENTS
grid_ckpt,10,0.25,1024,0.4,71794.500000,71794.500000,2091,0,4307670,4307670,0
grid_ckpt,10,0.25,1024,0.4,72405.016667,72405.016667,2110,0,4344301,4344301,0
grid_ckpt,10,0.25,1024,0.4,71820.950000,71820.950000,2091,0,4309257,4309257,0
grid_ckpt,10,0.25,1024,0.4,72280.233333,72280.233333,2106,0,4336814,4336814,0
grid_ckpt,10,0.25,1024,0.4,72283.866667,72283.866667,2106,0,4337032,4337032,0
chunk_ckpt,10,0.25,1024,0.4,12026.433333,12026.433333,2573,0,721586,721586,0
chunk_ckpt,10,0.25,1024,0.4,12372.516667,12372.516667,2655,0,742351,742351,0
chunk_ckpt,10,0.25,1024,0.4,12323.816667,12323.816667,2644,0,739429,739429,0
chunk_ckpt,10,0.25,1024,0.4,12104.533333,12104.533333,2587,0,726272,726272,0
chunk_ckpt,10,0.25,1024,0.4,12340.366667,12340.366667,2650,0,740422,740422,0
full_ckpt,10,0.25,1024,0.4,62280.133333,62280.133333,1781,0,3736808,3736808,0
full_ckpt,10,0.25,1024,0.4,63589.000000,63589.000000,1822,0,3815340,3815340,0
full_ckpt,10,0.25,1024,0.4,64327.416667,64327.416667,1846,0,3859645,3859645,0
full_ckpt,10,0.25,1024,0.4,64636.916667,64636.916667,1857,0,3878215,3878215,0
full_ckpt,10,0.25,1024,0.4,64569.700000,64569.700000,1854,0,3874182,3874182,0
grid_ckpt,10,0.25,1024,0.1,147434.450000,147434.450000,1024,0,8846067,8846067,0
grid_ckpt,10,0.25,1024,0.1,147566.366667,147566.366667,1026,0,8853982,8853982,0
grid_ckpt,10,0.25,1024,0.1,147037.283333,147037.283333,1031,0,8822237,8822237,0
grid_ckpt,10,0.25,1024,0.1,147722.250000,147722.250000,1029,0,8863335,8863335,0
