CKPT_TYPE,THREADS,SPEC_WINDOW,OBJECTS,M,P_SHIFT,SPEC_WINDOWS,ROLLBACKS,TOTAL_EVENTS,COMMITTED_EVENTS,FILTERED_EVENTS
grid_ckpt,10,0.25,128,1,4,74344,0,1548551,1548551,0
grid_ckpt,10,0.25,128,1,4,73873,0,1538287,1538287,0
grid_ckpt,10,0.25,128,1,4,73910,0,1538970,1538970,0
grid_ckpt,10,0.25,128,1,4,74070,0,1542304,1542304,0
grid_ckpt,10,0.25,128,1,4,73417,0,1528831,1528831,0
chunk_ckpt,10,0.25,128,1,4,21410,0,445403,445403,0
chunk_ckpt,10,0.25,128,1,4,21223,0,441407,441407,0
chunk_ckpt,10,0.25,128,1,4,21274,0,442452,442452,0
chunk_ckpt,10,0.25,128,1,4,21077,0,438176,438176,0
chunk_ckpt,10,0.25,128,1,4,21149,0,439776,439776,0
full_ckpt,10,0.25,128,1,4,1250,0,26542,26542,0
full_ckpt,10,0.25,128,1,4,1249,0,26522,26522,0
full_ckpt,10,0.25,128,1,4,1251,0,26561,26561,0
full_ckpt,10,0.25,128,1,4,1250,0,26561,26561,0
full_ckpt,10,0.25,128,1,4,1249,0,26522,26522,0
mmap_mv,10,0.25,128,1,4,21261,0,451217,451217,0
mmap_mv,10,0.25,128,1,4,20779,0,440287,440287,0
mmap_mv,10,0.25,128,1,4,20995,0,445182,445182,0
mmap_mv,10,0.25,128,1,4,20677,0,437972,437972,0
mmap_mv,10,0.25,128,1,4,21328,0,452781,452781,0
grid_ckpt,10,0.25,128,1,5,128523,0,2683209,2683209,0
grid_ckpt,10,0.25,128,1,5,129975,0,2713243,2713243,0
grid_ckpt,10,0.25,128,1,5,128343,0,2679627,2679627,0
grid_ckpt,10,0.25,128,1,5,128408,0,2680848,2680848,0
grid_ckpt,10,0.25,128,1,5,127073,0,2652743,2652743,0
chunk_ckpt,10,0.25,128,1,5,32588,0,681067,681067,0
chunk_ckpt,10,0.25,128,1,5,32545,0,680082,680082,0
chunk_ckpt,10,0.25,128,1,5,32999,0,689521,689521,0
chunk_ckpt,10,0.25,128,1,5,32566,0,680640,680640,0
