CKPT_TYPE,THREADS,SPEC_WINDOW,OBJECTS,M,MEAN_TOT_THROUGHPUT,MEAN_COM_THROUGHPUT,EPOCHS,ROLLBACKS,TOTAL_EVENTS,COMMITTED_EVENTS,FILTERED_EVENTS
grid_ckpt,10,0.25,1024,1,30668.416667,30583.216667,5297,19330,1840105,1834993,5112
grid_ckpt,10,0.25,1024,1,31865.083333,31776.150000,5353,20471,1911905,1906569,5336
grid_ckpt,10,0.25,1024,1,31179.533333,31094.316667,5321,20139,1870772,1865659,5113
grid_ckpt,10,0.25,1024,1,30812.983333,30726.433333,5226,19686,1848779,1843586,5193
grid_ckpt,10,0.25,1024,1,31208.433333,31120.400000,5172,20169,1872506,1867224,5282
chunk_ckpt,10,0.25,1024,1,12980.483333,12916.533333,1463,11339,778829,774992,3837
chunk_ckpt,10,0.25,1024,1,12961.716667,12897.400000,1474,11281,777703,773844,3859
chunk_ckpt,10,0.25,1024,1,12930.400000,12865.833333,1470,11365,775824,771950,3874
chunk_ckpt,10,0.25,1024,1,13031.850000,12965.183333,1448,11380,781911,777911,4000
chunk_ckpt,10,0.25,1024,1,12962.950000,12896.633333,1433,11560,777777,773798,3979
full_ckpt,10,0.25,1024,1,1444.600000,1434.950000,131,1462,86676,86097,579
full_ckpt,10,0.25,1024,1,1449.383333,1439.066667,132,1525,86963,86344,619
full_ckpt,10,0.25,1024,1,1432.583333,1420.800000,130,1548,85955,85248,707
full_ckpt,10,0.25,1024,1,1445.533333,1433.600000,131,1571,86732,86016,716
full_ckpt,10,0.25,1024,1,1448.100000,1437.633333,131,1482,86886,86258,628
grid_ckpt,10,0.25,1024,100,583516.433333,64595.966667,5,238140,35010986,3875758,31135228
grid_ckpt,10,0.25,1024,100,582424.533333,64563.883333,5,238005,34945472,3873833,31071639
grid_ckpt,10,0.25,1024,100,581410.900000,64078.400000,5,236217,34884654,3844704,31039950
grid_ckpt,10,0.25,1024,100,581385.350000,64199.833333,5,236544,34883121,3851990,31031131
grid_ckpt,10,0.25,1024,100,585647.383333,65102.016667,5,240091,35138843,3906121,31232722
chunk_ckpt,10,0.25,1024,100,80212.083333,6372.916667,0,29443,4812725,382375,4430350
chunk_ckpt,10,0.25,1024,100,80185.533333,6357.466667,0,29424,4811132,381448,4429684
chunk_ckpt,10,0.25,1024,100,80222.233333,6373.250000,0,29423,4813334,382395,4430939
chunk_ckpt,10,0.25,1024,100,80240.616667,6369.716667,0,29428,4814437,382183,4432254
chunk_ckpt,10,0.25,1024,100,80201.666667,6367.816667,0,29424,4812100,382069,4430031
full_ckpt,10,0.25,1024,100,403667.133333,32919.383333,0,133677,24220028,1975163,22244865
full_ckpt,10,0.25,1024,100,404629.666667,33024.900000,0,133975,24277780,1981494,22296286
full_ckpt,10,0.25,1024,100,405159.133333,33075.300000,0,134088,24309548,1984518,22325030
full_ckpt,10,0.25,1024,100,396911.700000,32338.783333,0,131510,23814702,1940327,21874375
full_ckpt,10,0.25,1024,100,404480.050000,32998.316667,0,133960,24268803,1979899,22288904
grid_ckpt,10,0.5,1024,1,32119.616667,32028.683333,5309,21022,1927177,1921721,5456
grid_ckpt,10,0.5,1024,1,31531.816667,31447.366667,5310,20073,1891909,1886842,5067
grid_ckpt,10,0.5,1024,1,31119.166667,31032.300000,5386,19630,1867150,1861938,5212
grid_ckpt,10,0.5,1024,1,31188.066667,31101.050000,5226,20141,1871284,1866063,5221
grid_ckpt,10,0.5,1024,1,31770.433333,31686.116667,5263,20325,1906226,1901167,5059
chunk_ckpt,10,0.5,1024,1,13128.016667,13060.816667,1449,11779,787681,783649,4032
chunk_ckpt,10,0.5,1024,1,12958.533333,12891.800000,1416,11729,777512,773508,4004
chunk_ckpt,10,0.5,1024,1,12977.333333,12913.366667,1474,11269,778640,774802,3838
chunk_ckpt,10,0.5,1024,1,13023.133333,12955.816667,1441,11486,781388,777349,4039
chunk_ckpt,10,0.5,1024,1,12987.916667,12921.183333,1420,11604,779275,775271,4004
full_ckpt,10,0.5,1024,1,1454.166667,1443.866667,132,1497,87250,86632,618
full_ckpt,10,0.5,1024,1,1464.766667,1453.366667,132,1576,87886,87202,684
full_ckpt,10,0.5,1024,1,1446.183333,1434.150000,131,1578,86771,86049,722
full_ckpt,10,0.5,1024,1,1443.933333,1432.966667,131,1563,86636,85978,658
full_ckpt,10,0.5,1024,1,1447.033333,1436.033333,131,1556,86822,86162,660
grid_ckpt,10,0.5,1024,100,582909.600000,64514.900000,5,237833,34974576,3870894,31103682
grid_ckpt,10,0.5,1024,100,585668.333333,65201.150000,5,240421,35140100,3912069,31228031
grid_ckpt,10,0.5,1024,100,586896.983333,65245.450000,5,240790,35213819,3914727,31299092
grid_ckpt,10,0.5,1024,100,586900.433333,65327.350000,5,240917,35214026,3919641,31294385
grid_ckpt,10,0.5,1024,100,583953.750000,64660.983333,5,238606,35037225,3879659,31157566
chunk_ckpt,10,0.5,1024,100,80091.716667,6349.050000,0,29390,4805503,380943,4424560
chunk_ckpt,10,0.5,1024,100,80084.233333,6363.250000,0,29405,4805054,381795,4423259
chunk_ckpt,10,0.5,1024,100,79996.033333,6346.433333,0,29354,4799762,380786,4418976
chunk_ckpt,10,0.5,1024,100,80009.683333,6357.150000,0,29339,4800581,381429,4419152
chunk_ckpt,10,0.5,1024,100,80006.366667,6337.300000,0,29373,4800382,380238,4420144
full_ckpt,10,0.5,1024,100,397437.700000,32374.483333,0,131734,23846262,1942469,21903793
full_ckpt,10,0.5,1024,100,396058.316667,32277.516667,0,131369,23763499,1936651,21826848
full_ckpt,10,0.5,1024,100,395646.816667,32231.516667,0,131212,23738809,1933891,21804918
